age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
33,technician,single,secondary,no,5235,no,no,cellular,7,aug,67,3,-1,0,unknown,no
30,technician,single,tertiary,no,3,yes,no,cellular,6,may,45,2,169,2,failure,no
58,technician,single,secondary,no,409,no,yes,cellular,14,jul,643,2,-1,0,unknown,no
34,admin.,married,tertiary,no,35,yes,no,cellular,15,oct,76,1,69,2,failure,no
45,management,married,tertiary,no,-459,no,no,cellular,21,aug,508,6,-1,0,unknown,no
28,services,single,secondary,no,198,no,no,cellular,5,jul,128,2,-1,0,unknown,yes
31,blue-collar,married,primary,no,99,yes,no,cellular,17,apr,193,2,322,1,other,no
40,management,married,tertiary,no,60,no,no,unknown,16,jun,172,6,-1,0,unknown,no
30,services,single,secondary,no,3485,no,no,cellular,2,feb,142,2,-1,0,unknown,no
34,entrepreneur,married,secondary,no,-139,yes,yes,unknown,27,may,492,2,-1,0,unknown,no
40,blue-collar,married,secondary,no,952,no,yes,unknown,12,jun,140,1,-1,0,unknown,no
59,retired,married,primary,no,1427,no,no,unknown,18,jun,140,2,-1,0,unknown,no
43,technician,single,tertiary,no,1017,yes,no,unknown,19,may,257,2,-1,0,unknown,no
41,management,married,tertiary,no,-29,no,no,cellular,29,jan,41,2,266,2,failure,no
33,technician,divorced,secondary,no,9,no,no,cellular,21,aug,91,2,-1,0,unknown,no
33,management,married,secondary,no,4040,yes,no,cellular,20,apr,132,2,-1,0,unknown,no
36,blue-collar,married,secondary,no,13,no,no,unknown,3,jun,284,1,-1,0,unknown,no
32,self-employed,single,secondary,no,1259,no,no,cellular,25,jul,184,2,-1,0,unknown,no
25,admin.,married,secondary,no,18,yes,no,cellular,18,jul,225,1,-1,0,unknown,no
25,blue-collar,married,secondary,no,-76,yes,no,unknown,12,may,241,3,-1,0,unknown,no
38,technician,single,tertiary,no,221,no,no,cellular,20,aug,79,3,-1,0,unknown,no
34,management,married,tertiary,no,136,yes,no,cellular,22,apr,156,1,-1,0,unknown,no
67,blue-collar,married,secondary,no,16353,no,no,cellular,27,oct,223,2,-1,0,unknown,no
32,blue-collar,married,secondary,no,-63,yes,no,unknown,30,may,198,1,-1,0,unknown,no
45,housemaid,married,primary,no,7353,no,no,cellular,13,aug,536,2,-1,0,unknown,no
33,blue-collar,married,primary,no,511,yes,no,unknown,21,may,304,2,-1,0,unknown,no
38,admin.,married,primary,no,3913,yes,no,cellular,20,apr,196,2,315,2,failure,no
32,technician,divorced,secondary,no,1097,yes,no,unknown,12,may,298,2,-1,0,unknown,no
54,retired,divorced,tertiary,no,6102,yes,yes,unknown,21,may,86,6,-1,0,unknown,no
51,admin.,divorced,secondary,no,340,yes,no,unknown,8,may,186,1,-1,0,unknown,no
42,blue-collar,married,primary,no,-119,yes,no,cellular,22,jul,167,3,-1,0,unknown,no
41,admin.,married,secondary,no,2993,yes,no,cellular,22,jul,24,12,-1,0,unknown,no
39,management,divorced,tertiary,no,3575,no,yes,cellular,18,aug,74,3,-1,0,unknown,no
38,blue-collar,married,secondary,no,361,yes,no,unknown,11,jun,601,1,-1,0,unknown,no
39,management,married,secondary,no,1072,yes,no,unknown,27,may,1168,2,-1,0,unknown,no
46,blue-collar,married,primary,no,2904,no,no,cellular,20,apr,277,2,-1,0,unknown,no
50,entrepreneur,divorced,tertiary,no,1790,no,yes,cellular,6,feb,748,3,-1,0,unknown,no
33,blue-collar,married,secondary,no,86,yes,no,unknown,19,may,364,1,-1,0,unknown,no
37,technician,married,secondary,no,1633,yes,no,unknown,19,may,229,3,-1,0,unknown,no
31,management,married,tertiary,no,8312,no,no,cellular,29,aug,43,13,-1,0,unknown,no
34,blue-collar,divorced,unknown,no,172,no,no,cellular,15,jun,177,1,-1,0,unknown,yes
34,management,married,tertiary,no,0,yes,no,cellular,7,aug,262,1,99,2,success,yes
36,management,married,tertiary,no,222,yes,no,cellular,6,may,317,1,169,2,failure,no
40,technician,married,secondary,no,109,no,no,unknown,20,jun,402,22,-1,0,unknown,no
40,blue-collar,married,secondary,no,1451,no,no,cellular,1,jun,314,1,-1,0,unknown,yes
41,technician,married,secondary,no,1066,no,no,cellular,11,feb,109,3,-1,0,unknown,yes
52,management,married,tertiary,no,3163,no,no,cellular,25,aug,56,6,-1,0,unknown,no
40,services,single,secondary,no,888,yes,no,unknown,12,may,169,2,-1,0,unknown,no
48,blue-collar,single,unknown,no,428,yes,no,cellular,18,may,127,1,-1,0,unknown,no
33,management,divorced,secondary,no,106,no,no,cellular,20,aug,175,3,-1,0,unknown,no
44,technician,divorced,secondary,no,0,no,no,cellular,12,aug,56,2,-1,0,unknown,no
55,management,married,tertiary,no,979,no,yes,cellular,8,jul,123,1,-1,0,unknown,no
51,admin.,married,secondary,no,2662,no,no,telephone,28,jan,148,2,-1,0,unknown,no
34,management,single,tertiary,no,84,no,no,cellular,5,feb,231,1,-1,0,unknown,no
58,retired,divorced,unknown,no,5920,yes,no,cellular,23,jul,255,1,-1,0,unknown,no
39,management,single,tertiary,no,816,yes,no,cellular,27,aug,37,3,-1,0,unknown,no
27,unemployed,single,secondary,no,3276,no,no,cellular,5,aug,106,1,110,2,other,no
55,management,divorced,unknown,no,2,yes,no,unknown,19,may,95,1,-1,0,unknown,no
35,technician,single,secondary,no,-51,no,no,unknown,2,jul,134,2,-1,0,unknown,no
37,technician,single,tertiary,no,3315,yes,no,cellular,9,apr,820,2,-1,0,unknown,no
52,technician,married,secondary,no,196,yes,yes,cellular,24,feb,116,1,273,3,failure,no
41,blue-collar,married,secondary,no,552,yes,no,cellular,12,may,463,1,-1,0,unknown,no
52,admin.,married,secondary,no,2347,no,yes,cellular,12,aug,603,3,-1,0,unknown,no
34,blue-collar,single,secondary,no,3723,yes,no,unknown,27,may,47,5,-1,0,unknown,no
53,management,divorced,primary,no,255,no,no,cellular,19,nov,126,1,-1,0,unknown,no
33,management,single,tertiary,no,3143,no,no,cellular,29,jun,421,2,-1,0,unknown,yes
47,self-employed,married,secondary,no,0,no,no,unknown,26,jun,174,8,-1,0,unknown,no
35,blue-collar,married,secondary,no,6411,yes,yes,cellular,30,jan,144,1,266,2,failure,no
33,management,single,tertiary,no,1909,no,no,cellular,8,aug,191,2,-1,0,unknown,no
55,blue-collar,married,primary,no,3873,no,no,telephone,21,apr,222,1,-1,0,unknown,no
58,self-employed,married,primary,no,1013,yes,no,cellular,11,aug,206,1,461,1,failure,yes
44,admin.,married,secondary,no,262,yes,no,cellular,9,jul,74,1,-1,0,unknown,no
25,services,single,secondary,no,3217,yes,no,unknown,28,may,24,1,-1,0,unknown,no
37,technician,single,secondary,no,5436,yes,no,cellular,6,may,7,11,351,1,failure,no
41,blue-collar,married,primary,no,2067,yes,no,cellular,15,may,493,7,-1,0,unknown,no
34,blue-collar,single,secondary,no,215,no,no,cellular,3,mar,350,3,-1,0,unknown,yes
36,services,divorced,secondary,no,1594,no,no,unknown,6,jun,250,3,-1,0,unknown,no
44,self-employed,married,tertiary,no,134,no,no,cellular,28,aug,86,4,-1,0,unknown,no
34,entrepreneur,divorced,tertiary,no,262,no,no,cellular,20,nov,371,1,-1,0,unknown,no
56,blue-collar,divorced,primary,no,3021,no,no,unknown,9,jun,419,2,-1,0,unknown,no
43,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087,2,-1,0,unknown,yes
28,blue-collar,single,secondary,no,3412,yes,no,cellular,15,may,22,4,-1,0,unknown,no
54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no
37,technician,divorced,secondary,no,79,no,no,cellular,21,jul,191,1,-1,0,unknown,no
59,self-employed,married,tertiary,no,2013,no,no,cellular,19,feb,222,4,94,2,success,yes
58,blue-collar,divorced,secondary,no,543,no,yes,telephone,17,jul,264,3,-1,0,unknown,no
56,management,divorced,tertiary,no,1016,yes,no,unknown,9,jun,184,5,-1,0,unknown,no
32,blue-collar,single,secondary,no,604,no,yes,cellular,28,may,95,3,-1,0,unknown,no
42,management,single,tertiary,no,525,no,no,cellular,13,aug,127,2,-1,0,unknown,no
52,retired,divorced,primary,no,353,no,no,cellular,31,jul,395,4,-1,0,unknown,no
46,management,married,tertiary,no,964,yes,no,cellular,8,apr,174,1,-1,0,unknown,no
37,admin.,married,tertiary,no,3913,yes,no,cellular,27,apr,124,1,-1,0,unknown,yes
39,blue-collar,married,primary,no,879,yes,no,unknown,26,may,102,2,-1,0,unknown,no
31,admin.,married,secondary,no,314,yes,no,cellular,17,apr,279,1,-1,0,unknown,no
59,housemaid,married,primary,no,0,no,no,cellular,27,aug,76,11,-1,0,unknown,no
38,blue-collar,married,secondary,no,1370,yes,no,cellular,11,may,472,2,-1,0,unknown,no
58,management,married,secondary,no,37,no,no,cellular,18,aug,84,11,-1,0,unknown,no
34,management,single,tertiary,no,673,yes,yes,cellular,20,nov,271,1,184,1,failure,no
40,services,married,secondary,no,-342,yes,no,unknown,26,may,754,1,-1,0,unknown,no
20,student,single,secondary,no,291,no,no,telephone,11,may,172,5,371,5,failure,no
34,technician,married,secondary,no,209,yes,yes,cellular,8,apr,375,2,-1,0,unknown,no
31,technician,single,tertiary,no,438,yes,no,cellular,12,aug,130,2,-1,0,unknown,no
39,admin.,single,secondary,no,1242,yes,no,unknown,12,may,303,3,-1,0,unknown,no
34,entrepreneur,married,tertiary,no,355,yes,no,unknown,16,may,261,1,-1,0,unknown,no
24,blue-collar,married,secondary,no,204,yes,yes,cellular,17,apr,229,3,-1,0,unknown,no
41,management,married,tertiary,no,10758,yes,no,cellular,1,jun,288,1,-1,0,unknown,no
40,management,married,tertiary,no,5,yes,no,cellular,18,nov,219,3,-1,0,unknown,no
45,technician,single,secondary,no,410,yes,no,unknown,30,may,891,4,-1,0,unknown,yes
36,management,married,tertiary,no,605,yes,no,unknown,26,may,204,1,-1,0,unknown,no
53,management,married,tertiary,no,4,no,no,unknown,20,jun,19,6,-1,0,unknown,no
23,student,single,secondary,no,8494,no,no,cellular,25,aug,158,2,-1,0,unknown,no
42,entrepreneur,married,primary,no,198,yes,no,unknown,8,may,314,1,-1,0,unknown,no
48,blue-collar,married,secondary,no,841,yes,no,unknown,19,may,215,1,-1,0,unknown,no
